期号,开奖日期,前区号码,后区号码
24108,2024-09-16,"16 17 21 31 34","03 08"
24109,2024-09-18,"12 23 26 27 28","03 11"
24110,2024-09-21,"01 07 08 18 28","04 12"
24111,2024-09-23,"03 09 19 27 30","07 11"
24112,2024-09-25,"05 15 24 31 34","03 10"
24113,2024-09-28,"16 18 25 26 33","04 08"
24114,2024-09-30,"12 27 30 34 35","05 11"
24115,2024-10-05,"03 04 12 19 24","08 12"
24116,2024-10-07,"01 03 06 16 25","01 11"
24117,2024-10-09,"02 10 22 26 28","02 04"
24118,2024-10-12,"01 03 09 16 19","05 11"
24119,2024-10-14,"06 12 28 30 33","02 07"
24120,2024-10-16,"04 12 17 23 27","02 08"
24121,2024-10-19,"07 15 18 24 33","04 05"
24122,2024-10-21,"05 06 09 15 17","03 10"
24123,2024-10-23,"03 09 16 30 31","08 09"
24124,2024-10-26,"02 03 07 10 25","01 11"
24125,2024-10-28,"10 14 19 24 26","01 10"
24126,2024-10-30,"02 10 17 28 34","07 08"
24127,2024-11-02,"02 03 10 16 28","07 10"
24128,2024-11-04,"03 07 10 29 31","01 03"
24129,2024-11-06,"07 19 30 31 34","05 07"
24130,2024-11-09,"11 21 25 31 32","04 10"
24131,2024-11-11,"02 03 04 21 26","02 03"
24132,2024-11-13,"05 06 10 16 31","06 09"
24133,2024-11-16,"08 10 14 22 29","04 06"
24134,2024-11-18,"01 04 07 13 33","05 06"
24135,2024-11-20,"06 08 22 24 30","03 08"
24136,2024-11-23,"01 17 20 29 34","07 08"
24137,2024-11-25,"08 15 16 17 21","02 05"
24138,2024-11-27,"05 17 20 28 34","04 09"
24139,2024-11-30,"05 12 20 23 24","05 07"
24140,2024-12-02,"03 06 15 23 31","01 12"
24141,2024-12-04,"02 06 07 16 20","02 11"
24142,2024-12-07,"08 21 24 33 34","03 10"
24143,2024-12-09,"16 20 22 24 31","04 05"
24144,2024-12-11,"06 07 08 21 30","01 05"
24145,2024-12-14,"01 06 09 22 24","01 03"
24146,2024-12-16,"05 20 21 22 32","03 04"
24147,2024-12-18,"12 18 21 22 31","01 07"
24148,2024-12-21,"06 09 20 32 35","08 11"
24149,2024-12-23,"02 05 16 18 22","07 09"
24150,2024-12-25,"04 11 23 25 34","05 07"
24151,2024-12-28,"05 12 17 19 35","10 11"
24152,2024-12-30,"01 02 07 08 31","02 10"
25001,2025-01-01,"05 08 16 17 27","04 07"
25002,2025-01-04,"19 21 22 28 32","06 09"
25003,2025-01-06,"10 25 30 32 34","04 10"
25004,2025-01-08,"02 05 09 13 33","01 07"
25005,2025-01-11,"05 06 08 31 32","09 11"
25006,2025-01-13,"03 04 13 19 35","03 10"
25007,2025-01-15,"15 22 23 25 31","01 09"
25008,2025-01-18,"01 05 07 13 35","05 12"
25009,2025-01-20,"03 19 21 30 32","06 09"
25010,2025-01-22,"05 21 28 30 32","07 12"
